shot_group,shot,time,time_from_group_lead,Year,Month,Day,Hour,Minute,Second,Source Location
S15_N,265,2025-06-14 15:30:56.075000,0.0,2025,6,14,15,30,56.0749999999553,45
S15_N,266,2025-06-14 15:31:00.237000,4.162,2025,6,14,15,31,0.236999999962747,45
S15_N,267,2025-06-14 15:31:04.063000,7.988,2025,6,14,15,31,4.06299999996275,45
S15_N,268,2025-06-14 15:31:08.597000,12.522,2025,6,14,15,31,8.59699999994785,45
S15_N,269,2025-06-14 15:31:13.091000,17.016,2025,6,14,15,31,13.0910000000149,45
S15_N,270,2025-06-14 15:31:17.312000,21.237,2025,6,14,15,31,17.3120000000373,45
S15_S,271,2025-06-14 15:31:37.140000,0.0,2025,6,14,15,31,37.1400000000149,46
S15_S,272,2025-06-14 15:31:41.579000,4.439,2025,6,14,15,31,41.5790000000298,46
S15_S,273,2025-06-14 15:31:45.751000,8.611,2025,6,14,15,31,45.7510000000447,46
S15_S,274,2025-06-14 15:31:49.828000,12.688,2025,6,14,15,31,49.8279999999777,46
S15_S,275,2025-06-14 15:31:54.050000,16.91,2025,6,14,15,31,54.0500000000447,46
S15_S,276,2025-06-14 15:31:58.795000,21.655,2025,6,14,15,31,58.7950000000447,46
S16_N,277,2025-06-14 15:32:59.669000,0.0,2025,6,14,15,32,59.6689999999926,47
S16_N,278,2025-06-14 15:33:04.085000,4.416,2025,6,14,15,33,4.08499999996275,47
S16_N,279,2025-06-14 15:33:08.262000,8.593,2025,6,14,15,33,8.2619999999851,47
S16_N,280,2025-06-14 15:33:16.280000,16.611,2025,6,14,15,33,16.2800000000298,47
S16_N,281,2025-06-14 15:33:20.474000,20.805,2025,6,14,15,33,20.4740000000447,47
S16_N,282,2025-06-14 15:33:24.254000,24.585,2025,6,14,15,33,24.2539999999553,47
S16_S,283,2025-06-14 15:33:41.710000,0.0,2025,6,14,15,33,41.7099999999628,48
S16_S,284,2025-06-14 15:33:45.201000,3.491,2025,6,14,15,33,45.201,48
S16_S,285,2025-06-14 15:33:49.161000,7.451,2025,6,14,15,33,49.1609999999628,48
S16_S,286,2025-06-14 15:33:53.249000,11.539,2025,6,14,15,33,53.2489999999553,48
S16_S,287,2025-06-14 15:33:57.000000,15.29,2025,6,14,15,33,57.0,48
S16_S,288,2025-06-14 15:34:00.685000,18.975,2025,6,14,15,34,0.685000000059605,48
